region,cancer_site,sex,year,incidences_all_ages,incidences_age_under5,incidences_age5to9,incidences_age10to14,incidences_age15to19,incidences_age20to24,incidences_age25to29,incidences_age30to34,incidences_age35to39,incidences_age40to44,incidences_age45to49,incidences_age50to54,incidences_age55to59,incidences_age60to64,incidences_age65to69,incidences_age70to74,incidences_age75to79,incidences_age80to84,incidences_age85to89,incidences_age90and_over
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,2000,111,0,0,2,1,4,1,3,6,5,4,16,9,12,16,7,7,10,4,4
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,2001,130,1,1,0,3,4,3,7,8,4,10,10,5,11,8,15,17,10,9,4
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,2002,136,2,1,1,0,5,4,4,7,8,15,11,10,17,5,14,18,7,7,0
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,2003,131,0,0,3,2,1,4,6,1,12,5,15,11,13,10,13,13,9,7,6
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,2004,127,2,1,0,0,1,3,7,5,9,7,8,15,12,17,11,5,13,7,4
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,2005,140,0,0,4,2,4,5,4,6,5,6,9,17,18,12,17,16,9,4,2
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,2006,142,1,0,0,4,5,6,2,6,5,9,13,13,13,14,12,16,11,6,6
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,2007,185,0,2,1,7,5,2,4,12,9,19,15,19,13,12,14,25,16,7,3
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,2008,172,0,0,2,3,1,4,2,9,15,11,9,11,16,17,17,21,15,13,6
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,2009,175,0,1,3,2,1,6,9,8,7,15,12,11,15,17,23,15,12,9,9
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,2010,187,0,2,0,3,3,8,5,8,12,15,14,16,17,12,11,22,21,11,7
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,2011,168,1,0,1,2,3,6,5,6,12,13,10,13,18,9,19,21,11,9,9
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,2012,195,4,1,2,4,1,4,9,7,10,9,26,10,14,13,19,20,20,17,5
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,2013,181,0,0,1,2,8,3,2,7,10,8,18,15,12,21,16,12,28,13,5
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,2014,173,0,2,0,6,4,2,5,5,7,16,10,21,14,16,19,17,12,10,7
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,2015,167,1,1,1,2,1,4,3,5,7,10,12,12,15,24,20,18,18,10,3
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,2016,194,3,1,1,0,10,5,5,6,5,13,14,14,14,19,24,14,18,16,12
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,2017,195,0,2,3,2,2,3,5,7,12,13,17,10,18,20,25,21,12,16,7
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,2018,173,1,1,0,0,1,6,3,12,7,9,16,21,22,14,13,16,16,12,3
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,2019,146,0,1,1,1,1,1,2,5,8,8,18,14,6,12,14,16,14,13,11
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,2020,113,1,0,1,2,2,2,1,1,4,10,5,14,12,12,7,12,14,8,5
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2000,37,0,0,0,1,0,0,1,3,1,2,5,2,5,8,3,1,3,2,0
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2001,51,1,1,0,2,3,1,2,2,3,3,5,3,6,3,5,7,2,1,1
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2002,50,1,1,0,0,2,2,0,3,3,2,7,3,8,2,5,8,2,1,0
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2003,58,0,0,2,1,0,1,3,1,9,2,10,5,5,6,4,5,2,2,0
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2004,46,2,1,0,0,1,0,2,0,4,3,2,6,4,9,3,3,5,1,0
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2005,52,0,0,3,1,2,1,1,2,2,1,1,9,9,5,6,6,1,2,0
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2006,48,0,0,0,1,0,1,1,3,3,3,8,6,6,1,5,5,1,3,1
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2007,65,0,1,0,3,2,0,3,6,2,5,4,6,3,5,5,12,5,2,1
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2008,66,0,0,1,1,0,1,0,4,7,5,4,6,4,6,11,7,5,4,0
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2009,63,0,0,2,1,1,1,2,2,3,6,6,4,8,8,10,3,2,3,1
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2010,63,0,1,0,1,0,2,1,5,2,6,7,4,5,3,5,12,6,2,1
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2011,67,0,0,0,0,2,2,3,3,7,6,5,4,6,5,9,3,4,5,3
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2012,80,1,0,2,0,0,1,3,3,8,5,9,4,5,4,7,8,10,9,1
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2013,80,0,0,1,2,5,1,1,4,0,4,8,6,7,7,8,5,12,7,2
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2014,69,0,2,0,3,0,0,3,3,3,4,3,11,7,11,7,7,3,1,1
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2015,60,1,1,0,2,0,1,0,2,2,3,5,5,8,5,8,6,8,2,1
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2016,73,0,1,1,0,4,1,4,3,2,7,9,4,6,5,9,8,4,4,1
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2017,63,0,1,1,1,1,2,1,1,8,3,2,5,6,10,6,5,2,5,3
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2018,62,1,0,0,0,1,2,2,7,2,6,4,4,8,5,2,8,6,2,2
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2019,50,0,0,0,1,0,0,0,2,4,2,4,6,2,6,6,5,4,4,4
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2020,48,1,0,1,1,1,0,1,1,3,3,0,5,6,5,4,6,7,3,0
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Female,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Female,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Female,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Female,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Female,2000,74,0,0,2,0,4,1,2,3,4,2,11,7,7,8,4,6,7,2,4
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Female,2001,79,0,0,0,1,1,2,5,6,1,7,5,2,5,5,10,10,8,8,3
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Female,2002,86,1,0,1,0,3,2,4,4,5,13,4,7,9,3,9,10,5,6,0
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Female,2003,73,0,0,1,1,1,3,3,0,3,3,5,6,8,4,9,8,7,5,6
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Female,2004,81,0,0,0,0,0,3,5,5,5,4,6,9,8,8,8,2,8,6,4
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Female,2005,88,0,0,1,1,2,4,3,4,3,5,8,8,9,7,11,10,8,2,2
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Female,2006,94,1,0,0,3,5,5,1,3,2,6,5,7,7,13,7,11,10,3,5
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Female,2007,120,0,1,1,4,3,2,1,6,7,14,11,13,10,7,9,13,11,5,2
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Female,2008,106,0,0,1,2,1,3,2,5,8,6,5,5,12,11,6,14,10,9,6
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Female,2009,112,0,1,1,1,0,5,7,6,4,9,6,7,7,9,13,12,10,6,8
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Female,2010,124,0,1,0,2,3,6,4,3,10,9,7,12,12,9,6,10,15,9,6
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Female,2011,101,1,0,1,2,1,4,2,3,5,7,5,9,12,4,10,18,7,4,6
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Female,2012,115,3,1,0,4,1,3,6,4,2,4,17,6,9,9,12,12,10,8,4
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Female,2013,101,0,0,0,0,3,2,1,3,10,4,10,9,5,14,8,7,16,6,3
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Female,2014,104,0,0,0,3,4,2,2,2,4,12,7,10,7,5,12,10,9,9,6
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Female,2015,107,0,0,1,0,1,3,3,3,5,7,7,7,7,19,12,12,10,8,2
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Female,2016,121,3,0,0,0,6,4,1,3,3,6,5,10,8,14,15,6,14,12,11
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Female,2017,132,0,1,2,1,1,1,4,6,4,10,15,5,12,10,19,16,10,11,4
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Female,2018,111,0,1,0,0,0,4,1,5,5,3,12,17,14,9,11,8,10,10,1
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Female,2019,96,0,1,1,0,1,1,2,3,4,6,14,8,4,6,8,11,10,9,7
South East of Scotland,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Female,2020,65,0,0,0,1,1,2,0,0,1,7,5,9,6,7,3,6,7,5,5
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),All,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),All,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),All,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),All,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),All,2000,252,2,1,4,2,6,2,8,8,13,13,32,24,21,32,25,25,20,10,4
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),All,2001,252,1,5,4,3,5,6,11,16,8,16,20,13,26,23,30,26,18,16,5
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),All,2002,262,4,4,2,5,5,6,9,14,11,22,23,20,29,24,24,31,16,12,1
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),All,2003,245,8,3,5,3,2,4,8,3,18,9,23,23,21,22,28,25,22,11,7
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),All,2004,248,4,2,2,1,1,4,8,8,16,13,17,36,23,28,30,18,22,11,4
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),All,2005,251,2,4,5,2,6,8,7,9,10,11,21,34,33,21,31,24,15,6,2
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),All,2006,269,3,1,3,4,9,7,5,11,10,19,23,27,31,26,26,31,18,8,7
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),All,2007,307,4,5,2,8,7,6,11,13,17,29,18,36,26,26,29,33,23,9,5
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),All,2008,300,3,1,6,4,2,5,3,13,21,20,20,29,28,33,30,35,20,18,9
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),All,2009,299,4,4,5,6,4,13,11,11,10,17,18,24,28,40,34,23,18,18,11
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),All,2010,316,1,5,3,6,4,14,6,11,19,20,23,34,33,27,27,35,26,13,9
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),All,2011,306,3,3,5,5,6,8,8,11,17,25,23,21,37,26,34,30,19,14,11
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),All,2012,338,6,2,4,7,3,5,16,14,15,17,35,20,29,33,36,35,32,22,7
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),All,2013,313,5,2,4,3,9,6,6,9,14,17,31,25,25,36,36,19,36,22,8
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),All,2014,330,3,6,1,8,6,5,9,10,12,23,30,36,29,34,37,33,22,16,10
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),All,2015,278,6,4,1,2,3,4,5,8,12,15,20,23,23,47,31,29,27,15,3
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),All,2016,321,6,4,2,2,14,11,10,11,11,18,21,23,27,35,39,27,26,21,13
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),All,2017,315,0,5,7,4,4,5,7,8,15,19,26,18,32,42,45,31,19,19,9
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),All,2018,307,4,6,2,1,3,9,7,21,8,11,23,39,33,31,31,30,26,19,3
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),All,2019,273,3,1,4,5,4,3,4,10,10,12,30,26,24,25,26,34,19,20,13
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),All,2020,227,6,3,1,2,4,4,5,5,7,15,10,22,22,27,25,30,16,15,8
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Male,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Male,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Male,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Male,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Male,2000,110,1,0,0,2,2,0,3,3,9,5,16,9,10,16,12,9,9,4,0
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Male,2001,123,1,4,3,2,4,2,3,7,6,6,13,4,19,14,12,10,6,5,2
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Male,2002,131,2,3,0,5,2,3,2,8,5,6,16,10,17,16,13,15,5,3,0
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Male,2003,126,7,3,4,2,0,1,4,3,12,5,15,14,10,10,11,11,9,4,1
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Male,2004,109,3,2,2,0,1,0,2,2,8,7,9,16,9,15,11,10,10,2,0
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Male,2005,122,2,4,4,1,2,3,4,3,6,5,11,20,20,8,14,8,5,2,0
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Male,2006,126,1,0,3,1,4,2,2,6,7,10,12,14,18,8,12,13,7,4,2
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Male,2007,127,3,1,0,3,2,0,7,6,6,10,6,17,10,13,12,17,9,2,3
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Male,2008,137,2,0,1,1,0,2,0,8,11,11,9,18,12,12,18,16,7,8,1
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Male,2009,129,2,1,3,3,3,5,2,4,4,7,10,10,17,21,16,9,5,5,2
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Male,2010,133,1,3,2,3,1,3,2,6,6,8,13,16,16,10,12,18,8,3,2
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Male,2011,146,2,1,3,0,4,2,5,5,11,14,11,9,16,19,16,9,9,6,4
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Male,2012,164,1,1,2,1,1,1,7,7,10,10,15,12,16,18,19,16,16,10,1
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Male,2013,148,2,0,3,3,5,3,3,5,2,9,15,11,14,13,20,7,17,13,3
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Male,2014,159,2,5,1,4,1,2,5,5,6,9,14,17,18,24,17,15,7,5,2
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Male,2015,125,4,3,0,2,0,1,1,4,7,5,10,13,14,16,15,12,12,5,1
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Male,2016,142,1,2,1,0,6,5,6,5,5,9,12,12,16,17,17,11,7,8,2
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Male,2017,128,0,4,5,3,1,4,1,2,10,7,7,7,10,23,19,11,4,7,3
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Male,2018,136,4,4,1,1,3,3,4,9,3,7,10,14,16,16,13,11,12,3,2
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Male,2019,122,2,0,2,5,1,0,1,5,5,4,11,13,11,13,16,16,7,6,4
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Male,2020,112,4,2,1,1,2,2,4,4,6,6,1,12,13,10,13,15,8,7,1
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Female,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Female,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Female,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Female,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Female,2000,142,1,1,4,0,4,2,5,5,4,8,16,15,11,16,13,16,11,6,4
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Female,2001,129,0,1,1,1,1,4,8,9,2,10,7,9,7,9,18,16,12,11,3
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Female,2002,131,2,1,2,0,3,3,7,6,6,16,7,10,12,8,11,16,11,9,1
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Female,2003,119,1,0,1,1,2,3,4,0,6,4,8,9,11,12,17,14,13,7,6
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Female,2004,139,1,0,0,1,0,4,6,6,8,6,8,20,14,13,19,8,12,9,4
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Female,2005,129,0,0,1,1,4,5,3,6,4,6,10,14,13,13,17,16,10,4,2
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Female,2006,143,2,1,0,3,5,5,3,5,3,9,11,13,13,18,14,18,11,4,5
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Female,2007,180,1,4,2,5,5,6,4,7,11,19,12,19,16,13,17,16,14,7,2
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Female,2008,163,1,1,5,3,2,3,3,5,10,9,11,11,16,21,12,19,13,10,8
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Female,2009,170,2,3,2,3,1,8,9,7,6,10,8,14,11,19,18,14,13,13,9
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Female,2010,183,0,2,1,3,3,11,4,5,13,12,10,18,17,17,15,17,18,10,7
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Female,2011,160,1,2,2,5,2,6,3,6,6,11,12,12,21,7,18,21,10,8,7
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Female,2012,174,5,1,2,6,2,4,9,7,5,7,20,8,13,15,17,19,16,12,6
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Female,2013,165,3,2,1,0,4,3,3,4,12,8,16,14,11,23,16,12,19,9,5
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Female,2014,171,1,1,0,4,5,3,4,5,6,14,16,19,11,10,20,18,15,11,8
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Female,2015,153,2,1,1,0,3,3,4,4,5,10,10,10,9,31,16,17,15,10,2
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Female,2016,179,5,2,1,2,8,6,4,6,6,9,9,11,11,18,22,16,19,13,11
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Female,2017,187,0,1,2,1,3,1,6,6,5,12,19,11,22,19,26,20,15,12,6
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Female,2018,171,0,2,1,0,0,6,3,12,5,4,13,25,17,15,18,19,14,16,1
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Female,2019,151,1,1,2,0,3,3,3,5,5,8,19,13,13,12,10,18,12,14,9
South East of Scotland,All brain and CNS tumours (malignant and non-malignant),Female,2020,115,2,1,0,1,2,2,1,1,1,9,9,10,9,17,12,15,8,8,7
South East of Scotland,Breast,All,1996,886,0,0,0,0,0,2,18,32,45,106,109,89,91,92,78,81,66,53,24
South East of Scotland,Breast,All,1997,977,0,0,0,0,0,8,17,28,56,77,138,125,106,83,98,92,74,44,31
South East of Scotland,Breast,All,1998,932,0,0,0,0,1,3,16,39,53,83,109,111,86,104,94,93,67,54,19
South East of Scotland,Breast,All,1999,1010,0,0,0,0,0,3,14,51,60,72,158,129,102,89,89,100,64,53,26
South East of Scotland,Breast,All,2000,1030,0,0,0,0,1,8,16,40,70,89,138,146,139,84,84,79,69,48,19
South East of Scotland,Breast,All,2001,984,0,0,0,0,0,6,13,43,60,76,112,108,113,87,102,109,60,66,29
South East of Scotland,Breast,All,2002,1092,0,0,0,0,0,2,12,32,61,90,145,161,118,103,103,113,81,41,30
South East of Scotland,Breast,All,2003,1129,0,0,0,0,0,2,19,37,57,92,157,154,143,116,101,94,76,48,33
South East of Scotland,Breast,All,2004,1014,0,0,0,0,0,1,13,34,80,95,117,112,106,125,101,81,80,39,30
South East of Scotland,Breast,All,2005,1257,0,0,0,0,2,1,15,37,82,110,144,155,146,162,118,102,83,64,36
South East of Scotland,Breast,All,2006,1243,0,0,0,0,0,4,14,33,51,113,144,160,165,157,128,91,94,48,41
South East of Scotland,Breast,All,2007,1126,0,0,0,0,0,6,15,24,74,101,132,103,138,117,123,102,94,59,38
South East of Scotland,Breast,All,2008,1212,0,0,0,0,0,4,12,39,69,97,126,149,148,167,115,103,80,72,31
South East of Scotland,Breast,All,2009,1235,0,0,0,0,2,5,6,28,78,104,161,131,165,161,107,123,80,49,35
South East of Scotland,Breast,All,2010,1155,0,0,0,0,0,5,9,31,70,111,142,120,155,128,101,93,92,68,30
South East of Scotland,Breast,All,2011,1351,0,0,0,0,2,5,9,26,72,119,178,134,190,157,135,126,97,64,37
South East of Scotland,Breast,All,2012,1314,0,0,0,0,0,5,12,40,58,115,141,131,181,172,129,118,111,67,34
South East of Scotland,Breast,All,2013,1245,0,0,0,0,4,1,19,30,66,117,154,116,148,140,116,113,107,81,33
South East of Scotland,Breast,All,2014,1332,0,0,0,0,1,4,16,22,59,115,179,138,169,203,107,110,99,67,43
South East of Scotland,Breast,All,2015,1308,0,0,0,0,0,4,16,34,58,122,159,135,141,206,131,112,78,80,32
South East of Scotland,Breast,All,2016,1236,0,0,0,0,0,4,13,30,60,102,179,131,145,180,124,107,86,54,21
South East of Scotland,Breast,All,2017,1328,0,0,0,0,1,6,18,36,73,87,188,126,143,193,136,123,94,66,38
South East of Scotland,Breast,All,2018,1455,0,0,0,0,1,8,19,34,59,125,192,190,171,184,122,138,114,65,33
South East of Scotland,Breast,All,2019,1340,0,0,0,0,1,6,14,35,64,87,165,150,140,183,172,128,104,52,39
South East of Scotland,Breast,All,2020,1224,0,0,0,0,0,7,22,42,63,105,160,149,135,130,133,118,75,52,33
South East of Scotland,Breast,Male,1996,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
South East of Scotland,Breast,Male,1997,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
South East of Scotland,Breast,Male,1998,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,0,0
South East of Scotland,Breast,Male,1999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
South East of Scotland,Breast,Male,2000,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
South East of Scotland,Breast,Male,2001,5,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0
South East of Scotland,Breast,Male,2002,9,0,0,0,0,0,0,0,1,1,0,1,1,2,2,0,1,0,0,0
